type,sku,name,regular_price,categories,images,description,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,status,parent,length,width,height,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global
variation,CA202,Baseball/Softball Cobra Award,14.25,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/CA202--f95aecb6.png,"Original dimensions (in): 7 1/2""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_6,19.05,19.05,0,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variation,CA222,Baseball/Softball Cobra Award,17.0,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/CA222--8b6012c3.png,"Original dimensions (in): 9""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_6,22.86,22.86,0,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variation,CA242,Baseball/Softball Cobra Award,22.5,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/CA242--f45c291d.png,"Original dimensions (in): 10 1/2""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_6,26.67,26.67,0,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variation,CA262,Baseball/Softball Cobra Award,28.0,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/CA262--1be36c7d.png,"Original dimensions (in): 12""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_6,30.48,30.48,0,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variable,PARENT_7,Baseball Happy Cup Award,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/HC101--dce1018a.png,,Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variation,HC101,Baseball Happy Cup Award,11.25,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/HC101--dce1018a.png,"Original dimensions (in): 6""",Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,PARENT_7,15.24,15.24,0,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variable,PARENT_8,Baseball/Softball Hurricane Resin,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/HC301--baf4c057.png,,Size,"Medium,Large",1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,HC301,Baseball/Softball Hurricane Resin,20.5,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/HC301--baf4c057.png,"Original dimensions (in): 6 1/2""",Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,PARENT_8,16.51,16.51,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,HC321,Baseball/Softball Hurricane Resin,21.75,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/HC321--9903dc72.png,"Original dimensions (in): 7 1/2""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_8,19.05,19.05,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variable,PARENT_9,Male Baseball Resin,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/JDS11--f95c2563.png,,Size,Large,1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,JDS11,Male Baseball Resin,29.0,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/JDS11--f95c2563.png,"Original dimensions (in): 9""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_9,22.86,22.86,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variable,PARENT_10,Female Softball Resin,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/JDS12--568cebf9.png,,Size,Large,1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,JDS12,Female Softball Resin,29.0,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/JDS12--568cebf9.png,"Original dimensions (in): 9 1/4""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_10,23.5,23.5,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variable,PARENT_11,Baseball Jazz Star Award,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/JSR101--e2df0e20.png,,Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variation,JSR101,Baseball Jazz Star Award,14.75,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/JSR101--e2df0e20.png,"Original dimensions (in): 5 1/2""",Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,PARENT_11,13.97,13.97,0,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variable,PARENT_12,Baseball Little Pals Resin,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/LPR01--d286f32e.png,,Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,LPR01,Baseball Little Pals Resin,13.5,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/LPR01--d286f32e.png,"Original dimensions (in): 5""",Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,PARENT_12,12.7,12.7,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variable,PARENT_13,Baseball/Softball Imperial Resin,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/PLR101--c4383588.png,,Size,"Medium,Large",1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,PLR101,Baseball/Softball Imperial Resin,19.5,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/PLR101--c4383588.png,"Original dimensions (in): 6""",Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,PARENT_13,15.24,15.24,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,PLR111,Baseball/Softball Imperial Resin,28.0,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/PLR111--b2d86b9c.png,"Original dimensions (in): 7 7/8""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_13,20.0,20.0,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,PLR121,Baseball/Softball Imperial Resin,41.75,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/PLR121--efd8ecbb.png,"Original dimensions (in): 9 7/8""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_13,25.08,25.08,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variable,PARENT_14,Baseball Encore Resin,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/REN101--4f7e8dc8.png,,Size,"Medium,Large",1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,REN101,Baseball Encore Resin,21.25,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/REN101--4f7e8dc8.png,"Original dimensions (in): 5 3/4""",Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,PARENT_14,14.61,14.61,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,REN201,Baseball Encore Resin,29.25,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/REN201--d563fb4d.png,"Original dimensions (in): 7""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_14,17.78,17.78,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,REN301,Baseball Encore Resin,36.0,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/REN301--b512b58b.png,"Original dimensions (in): 8 1/2""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_14,21.59,21.59,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variable,PARENT_15,Baseball/Softball Rock Star Resin,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/RKS201--a6ba45ea.png,,Size,Large,1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,RKS201,Baseball/Softball Rock Star Resin,18.75,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/RKS201--a6ba45ea.png,"Original dimensions (in): 7 1/2""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_15,19.05,19.05,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variable,PARENT_16,Baseball/Softball Sun Ray Resin,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/RKS211--4503e9c0.png,,Size,Large,1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
